description,technicalName
Special Processing Indicator,ZTKNUM_M__0TRASPECIAL
Forwarding Agent Tracking ID,ZTKNUM_M__ZTN_TRID
Tendering Text,ZTKNUM_M__ZTNDR_TXT
Mat. freight GRP (Historical),ZMFRGR
Tm - (DI) GI actual,ZWAUHR_ID
FLAG - Qty is diff on OI/DI,ZQTY_DIF
Market Segment Bus. Grp,ZCR_CUSTE__ZMKTGLBG
Market Segment Business,ZCR_CUSTE__ZMKTGLBUS
STAS - Shipment costs calc.,ZTKNUM_M__ZFBGST
STAS - Transp. Planning (DI),ZITM_DI__ZTRSTA
Forwarding Agent Carr.,ZFAGENT
Reason for Rejection,0REASON_REJ
Spec No. for Mat.,ZSPECIDM
FLAG - Customer Pickup,ZFLAG_CPU
Dt - (SH) Shipment Completion Planned,0DTCOMPL_PL
Local Currency,0LOC_CURRCY
Sales Organization,0SALESORG
FLAG - In Transit,ZF_INTRA
Tm - (SH) Created On,ZTKNUM_M__ZERZET_S
Transportation Group,0MATERIAL__ZTRAGR
Act. Shipment Completion Month,ZACT_MON
Act. Shipment Completion Quarter,ZACT_QUR
Act. Shipment Completion Year,ZACT_YRY
STAS - Billing Status (DI),ZFKSTA
Cust Material Desc,ZARKTX
Cust. Purch Ord No.,ZITM_OI__ZBSTKD
Sold To Country,0SOLD_TO__0COUNTRY
Customer Material,0CUST_MATRL
Dt - (OI) Customer Requested Del First,ZITM_OI__ZFCRDD
Dt - (OI) Customer Requested Del Last,ZITM_OI__ZLCRDD
Dt - (SH) Transp. Planning End,0TRAPLANDT
Geo Business Area (Receiving Plant),ZRECPLANT__ZRWRLDARE
Number of Schedule Line,ZNMBRSL
Order Entry Month,ZORCR_MON
Order Entry Year,ZORCR_YRY
Prod.Hierarchy,0PROD_HIER
Product Source,0PROFIT_CTR__ZPC_CLS
CSR Manager (Current),ZMSS_SHTO__ZCSR_MNGU
CSR (Assigned),ZPERNR_C
CSR Manager (Assigned),ZPERNR_C__ZMTRMNGR
Dt - (SH) CL PR First,ZTKNUM_M__ZTDPR_F
Dt - (SH) CL PR Last,ZTKNUM_M__ZTDPR_L
Order Entry Quarter,ZORCR_QUA
Start month-End Month input,ZCALMONTH
Date Basis,ZF_DTBASE
Controlling Area,0CO_AREA
Customer Group 3,0CUST_GRP3
Dt - Shelf Expiration Date,ZBATMAT__ZVFDAT
Volume Unit,0VOLUMEUNIT
FLAG - Batch Split,ZF_BATCH
FLAG - Intra-Country,ZF_INTRO
Dt - (SH) FD Arrival at Port of Ld Actual,ZTKNUM_M__ZAPOL_AD
Dt - (SH) FD Arrival at Port of Ld Planned,ZTKNUM_M__ZAPOL_PD
Dt - (SH) FD Dlv to Final Dest Actual,ZTKNUM_M__ZDFD_AD
Dt - (SH) FD Dlv to Final Dest Planned,ZTKNUM_M__ZDFD_PD
Company - Shipping,0PLANT__ZCOMPCODE
Sales Document,0DOC_NUMBER
ZA Partner,ZITM_OI__ZAPARTNR
FLAG - Max Weight (SH),ZTKNUM_M__ZFA_MAXW
Dt - (OI) Material Available Date First,ZMBDAT_F
Dt - (OI) Material Available Date Last,ZMBDAT_L
Commodity/Imp.Code,ZSTAWN
QN Number,0NOTIFICATN
CSR (Current),ZMSS_SHTO__ZMSS_CSR
Field Seller,ZCR_CUSTE__ZCR_FLDSL
Sales Director,ZCR_CUSTE__ZCR_SLDIR
Sales Manager,ZCR_CUSTE__ZCR_SALEM
Market Segment,ZCR_CUSTE__ZCR_MKSG
Market Segment Parent,ZCR_CUSTE__ZCR_MKSGP
Sales Channel,ZCR_CUSTE__ZCR_CHANL
Dt - (OI) Material Available Date (Confirmed),ZMBDAT_C
Dt - (OI) Transp. Planning Date Last,ZTDDAT_LL
Dt - (OI) Transp. Planning Date (Confirmed),ZTDDAT_LC
FLAG - Late Delivery Doc. Creation,ZFLAG_LD
Customer PO Date,ZBSTDK
Create By (DI),ZITM_DI__ZERNAM_D
Dt - (SH) FD DSV Arrived Discharge Berth Actual,ZTKNUM_M__ZADCB_AD
Dt - (SH) FD DSV Arrived Discharge Berth Plan,ZTKNUM_M__ZADCB_PD
Tm - (SH) FD DSV Arrived Discharge Berth Actual,ZTKNUM_M__ZADCB_AT
